user_id,segment,activity_date,cohort_date
CUST-00001,designer,2024-11-02,2024-11-02
CUST-00003,commercial,2025-08-06,2025-08-06
CUST-00004,designer,2024-03-31,2024-03-31
CUST-00006,homeowner,2024-06-20,2024-06-20
CUST-00008,homeowner,2025-02-09,2025-02-09
CUST-00010,homeowner,2025-04-27,2025-04-27
CUST-00012,homeowner,2025-09-19,2025-09-19
CUST-00013,commercial,2024-09-22,2024-09-22
CUST-00013,commercial,2025-01-13,2024-09-22
CUST-00015,designer,2024-07-02,2024-07-02
CUST-00016,homeowner,2025-02-02,2025-02-02
CUST-00019,designer,2024-07-09,2024-07-09
CUST-00020,homeowner,2024-08-31,2024-08-31
CUST-00023,homeowner,2024-11-02,2024-11-02
CUST-00024,homeowner,2024-12-10,2024-12-10
CUST-00025,designer,2024-05-13,2024-05-13
CUST-00026,designer,2025-06-12,2025-06-12
CUST-00028,homeowner,2025-05-04,2025-05-04
CUST-00029,homeowner,2024-09-25,2024-09-25
CUST-00033,commercial,2025-04-01,2025-04-01
CUST-00033,commercial,2025-07-29,2025-04-01
CUST-00036,homeowner,2024-05-03,2024-05-03
CUST-00039,designer,2024-07-08,2024-07-08
CUST-00042,designer,2024-03-29,2024-03-29
CUST-00043,trade,2025-02-05,2025-02-05
CUST-00044,homeowner,2025-03-17,2025-03-17
CUST-00049,designer,2025-09-20,2025-09-20
CUST-00050,designer,2025-05-01,2025-05-01
CUST-00051,homeowner,2024-02-21,2024-02-21
CUST-00054,homeowner,2025-09-29,2025-09-29
CUST-00056,designer,2025-01-18,2025-01-18
CUST-00056,designer,2025-05-29,2025-01-18
CUST-00057,commercial,2025-09-06,2025-09-06
CUST-00058,designer,2024-04-27,2024-04-27
CUST-00059,homeowner,2024-09-22,2024-09-22
CUST-00059,homeowner,2025-02-09,2024-09-22
CUST-00060,designer,2025-03-29,2025-03-29
CUST-00062,designer,2024-12-03,2024-12-03
CUST-00067,homeowner,2024-07-21,2024-07-21
CUST-00068,trade,2025-09-13,2025-09-13
CUST-00069,trade,2025-06-29,2025-06-29
CUST-00070,homeowner,2024-10-28,2024-10-28
CUST-00076,designer,2025-09-26,2025-09-26
CUST-00078,commercial,2024-03-26,2024-03-26
CUST-00084,homeowner,2024-05-15,2024-05-15
CUST-00087,homeowner,2024-03-27,2024-03-27
CUST-00088,homeowner,2025-05-08,2025-05-08
CUST-00091,designer,2025-06-26,2025-06-26
CUST-00093,designer,2025-07-10,2025-07-10
CUST-00096,trade,2025-03-09,2025-03-09
CUST-00099,homeowner,2024-06-01,2024-06-01
CUST-00103,homeowner,2024-03-26,2024-03-26
CUST-00104,homeowner,2025-03-06,2025-03-06
CUST-00106,homeowner,2025-07-13,2025-07-13
CUST-00107,designer,2024-08-10,2024-08-10
CUST-00107,designer,2025-04-30,2024-08-10
CUST-00108,homeowner,2025-09-05,2025-09-05
CUST-00109,homeowner,2024-10-21,2024-10-21
CUST-00110,homeowner,2024-10-04,2024-10-04
CUST-00110,homeowner,2025-04-17,2024-10-04
CUST-00114,trade,2025-04-08,2025-04-08
CUST-00116,designer,2024-06-18,2024-06-18
CUST-00117,homeowner,2025-04-18,2025-04-18
CUST-00118,designer,2024-05-19,2024-05-19
CUST-00122,homeowner,2025-03-12,2025-03-12
CUST-00123,designer,2025-01-27,2025-01-27
CUST-00125,designer,2024-07-24,2024-07-24
CUST-00126,homeowner,2024-11-07,2024-11-07
CUST-00127,designer,2024-12-05,2024-12-05
CUST-00130,homeowner,2025-04-13,2025-04-13
CUST-00132,homeowner,2024-05-04,2024-05-04
CUST-00132,homeowner,2024-10-16,2024-05-04
CUST-00133,homeowner,2024-07-04,2024-07-04
CUST-00134,trade,2024-11-12,2024-11-12
