user_id,segment,activity_date,cohort_date
CUST-00003,commercial,2025-08-06,2025-08-06
CUST-00013,commercial,2024-09-22,2024-09-22
CUST-00013,commercial,2025-01-13,2024-09-22
CUST-00033,commercial,2025-04-01,2025-04-01
CUST-00033,commercial,2025-07-29,2025-04-01
CUST-00057,commercial,2025-09-06,2025-09-06
CUST-00078,commercial,2024-03-26,2024-03-26
CUST-00169,commercial,2024-08-30,2024-08-30
CUST-00185,commercial,2025-08-24,2025-08-24
CUST-00298,commercial,2024-12-04,2024-12-04
CUST-00307,commercial,2025-03-07,2025-03-07
CUST-00344,commercial,2025-09-06,2025-09-06
CUST-00345,commercial,2025-10-11,2025-10-11
CUST-00352,commercial,2025-04-08,2025-04-08
CUST-00408,commercial,2024-12-01,2024-12-01
CUST-00408,commercial,2025-06-19,2024-12-01
CUST-00428,commercial,2024-08-11,2024-08-11
CUST-00438,commercial,2024-09-16,2024-09-16
CUST-00479,commercial,2025-01-14,2025-01-14
CUST-00509,commercial,2024-11-07,2024-11-07
CUST-00602,commercial,2025-02-18,2025-02-18
CUST-00650,commercial,2024-11-26,2024-11-26
CUST-00650,commercial,2025-05-04,2024-11-26
CUST-00652,commercial,2025-04-20,2025-04-20
CUST-00697,commercial,2025-03-18,2025-03-18
CUST-00706,commercial,2024-09-12,2024-09-12
CUST-00774,commercial,2024-12-14,2024-12-14
CUST-00778,commercial,2025-01-24,2025-01-24
CUST-00778,commercial,2025-07-26,2025-01-24
CUST-00802,commercial,2025-05-07,2025-05-07
CUST-00860,commercial,2025-04-12,2025-04-12
CUST-00874,commercial,2025-07-07,2025-07-07
CUST-01003,commercial,2024-06-01,2024-06-01
CUST-01003,commercial,2024-08-03,2024-06-01
CUST-01090,commercial,2024-12-25,2024-12-25
CUST-01100,commercial,2024-09-28,2024-09-28
CUST-01107,commercial,2024-10-29,2024-10-29
CUST-01151,commercial,2024-07-09,2024-07-09
CUST-01346,commercial,2025-06-01,2025-06-01
CUST-01385,commercial,2025-06-29,2025-06-29
CUST-01407,commercial,2025-03-21,2025-03-21
CUST-01418,commercial,2024-11-13,2024-11-13
CUST-01418,commercial,2025-05-16,2024-11-13
CUST-01450,commercial,2025-07-22,2025-07-22
CUST-01453,commercial,2025-01-05,2025-01-05
CUST-01545,commercial,2025-08-02,2025-08-02
CUST-01650,commercial,2024-09-30,2024-09-30
CUST-01805,commercial,2025-02-15,2025-02-15
CUST-01805,commercial,2025-06-20,2025-02-15
CUST-01883,commercial,2025-02-04,2025-02-04
CUST-01883,commercial,2025-07-09,2025-02-04
CUST-01975,commercial,2024-04-25,2024-04-25
CUST-01977,commercial,2024-11-20,2024-11-20
CUST-02016,commercial,2024-04-01,2024-04-01
CUST-02058,commercial,2024-09-06,2024-09-06
CUST-02128,commercial,2024-12-14,2024-12-14
CUST-02233,commercial,2025-05-12,2025-05-12
CUST-02241,commercial,2024-05-04,2024-05-04
CUST-02241,commercial,2024-10-04,2024-05-04
CUST-02281,commercial,2024-09-10,2024-09-10
CUST-02365,commercial,2025-01-20,2025-01-20
CUST-02494,commercial,2025-04-16,2025-04-16
CUST-02510,commercial,2025-10-01,2025-10-01
CUST-02550,commercial,2024-11-15,2024-11-15
CUST-02551,commercial,2024-04-21,2024-04-21
CUST-02638,commercial,2025-08-03,2025-08-03
CUST-02642,commercial,2024-04-09,2024-04-09
CUST-02645,commercial,2024-08-27,2024-08-27
CUST-02648,commercial,2024-09-11,2024-09-11
CUST-02648,commercial,2025-03-30,2024-09-11
CUST-02707,commercial,2025-10-10,2025-10-10
CUST-02734,commercial,2024-12-14,2024-12-14
CUST-02734,commercial,2025-05-02,2024-12-14
CUST-02736,commercial,2024-03-03,2024-03-03
CUST-02744,commercial,2024-02-11,2024-02-11
CUST-02862,commercial,2025-06-02,2025-06-02
CUST-02937,commercial,2025-07-19,2025-07-19
CUST-02967,commercial,2024-12-09,2024-12-09
CUST-03018,commercial,2025-08-05,2025-08-05
CUST-03076,commercial,2024-11-28,2024-11-28
CUST-03144,commercial,2024-11-18,2024-11-18
CUST-03156,commercial,2024-02-14,2024-02-14
CUST-03156,commercial,2024-05-03,2024-02-14
CUST-03193,commercial,2024-08-06,2024-08-06
CUST-03194,commercial,2025-04-09,2025-04-09
