user_id,segment,activity_date,cohort_date
CUST-00001,designer,2024-11-02,2024-11-02
CUST-00004,designer,2024-03-31,2024-03-31
CUST-00015,designer,2024-07-02,2024-07-02
CUST-00019,designer,2024-07-09,2024-07-09
CUST-00025,designer,2024-05-13,2024-05-13
CUST-00026,designer,2025-06-12,2025-06-12
CUST-00039,designer,2024-07-08,2024-07-08
CUST-00042,designer,2024-03-29,2024-03-29
CUST-00049,designer,2025-09-20,2025-09-20
CUST-00050,designer,2025-05-01,2025-05-01
CUST-00056,designer,2025-01-18,2025-01-18
CUST-00056,designer,2025-05-29,2025-01-18
CUST-00058,designer,2024-04-27,2024-04-27
CUST-00060,designer,2025-03-29,2025-03-29
CUST-00062,designer,2024-12-03,2024-12-03
CUST-00076,designer,2025-09-26,2025-09-26
CUST-00091,designer,2025-06-26,2025-06-26
CUST-00093,designer,2025-07-10,2025-07-10
CUST-00107,designer,2024-08-10,2024-08-10
CUST-00107,designer,2025-04-30,2024-08-10
CUST-00116,designer,2024-06-18,2024-06-18
CUST-00118,designer,2024-05-19,2024-05-19
CUST-00123,designer,2025-01-27,2025-01-27
CUST-00125,designer,2024-07-24,2024-07-24
CUST-00127,designer,2024-12-05,2024-12-05
CUST-00162,designer,2024-03-20,2024-03-20
CUST-00168,designer,2024-10-06,2024-10-06
CUST-00168,designer,2025-01-25,2024-10-06
CUST-00170,designer,2024-06-29,2024-06-29
CUST-00171,designer,2024-03-06,2024-03-06
CUST-00171,designer,2024-10-29,2024-03-06
CUST-00172,designer,2025-04-01,2025-04-01
CUST-00207,designer,2024-05-30,2024-05-30
CUST-00221,designer,2025-03-13,2025-03-13
CUST-00225,designer,2025-08-21,2025-08-21
CUST-00250,designer,2024-10-05,2024-10-05
CUST-00250,designer,2025-05-24,2024-10-05
CUST-00252,designer,2025-08-05,2025-08-05
CUST-00257,designer,2024-03-14,2024-03-14
CUST-00258,designer,2025-08-21,2025-08-21
CUST-00259,designer,2025-04-05,2025-04-05
CUST-00259,designer,2025-08-27,2025-04-05
CUST-00276,designer,2025-02-21,2025-02-21
CUST-00290,designer,2025-09-19,2025-09-19
CUST-00295,designer,2024-10-01,2024-10-01
CUST-00310,designer,2024-02-16,2024-02-16
CUST-00312,designer,2024-08-23,2024-08-23
CUST-00312,designer,2024-12-16,2024-08-23
CUST-00314,designer,2024-05-19,2024-05-19
CUST-00329,designer,2024-11-07,2024-11-07
CUST-00348,designer,2025-08-23,2025-08-23
CUST-00350,designer,2025-02-26,2025-02-26
CUST-00353,designer,2025-06-28,2025-06-28
CUST-00376,designer,2025-08-13,2025-08-13
CUST-00377,designer,2024-08-22,2024-08-22
CUST-00382,designer,2024-10-03,2024-10-03
CUST-00382,designer,2025-01-03,2024-10-03
CUST-00383,designer,2024-12-29,2024-12-29
CUST-00383,designer,2025-03-25,2024-12-29
CUST-00390,designer,2024-04-01,2024-04-01
