user_id,segment,activity_date,cohort_date
CUST-00006,homeowner,2024-06-20,2024-06-20
CUST-00008,homeowner,2025-02-09,2025-02-09
CUST-00010,homeowner,2025-04-27,2025-04-27
CUST-00012,homeowner,2025-09-19,2025-09-19
CUST-00016,homeowner,2025-02-02,2025-02-02
CUST-00020,homeowner,2024-08-31,2024-08-31
CUST-00023,homeowner,2024-11-02,2024-11-02
CUST-00024,homeowner,2024-12-10,2024-12-10
CUST-00028,homeowner,2025-05-04,2025-05-04
CUST-00029,homeowner,2024-09-25,2024-09-25
CUST-00036,homeowner,2024-05-03,2024-05-03
CUST-00044,homeowner,2025-03-17,2025-03-17
CUST-00051,homeowner,2024-02-21,2024-02-21
CUST-00054,homeowner,2025-09-29,2025-09-29
CUST-00059,homeowner,2024-09-22,2024-09-22
CUST-00059,homeowner,2025-02-09,2024-09-22
CUST-00067,homeowner,2024-07-21,2024-07-21
CUST-00070,homeowner,2024-10-28,2024-10-28
CUST-00084,homeowner,2024-05-15,2024-05-15
CUST-00087,homeowner,2024-03-27,2024-03-27
CUST-00088,homeowner,2025-05-08,2025-05-08
CUST-00099,homeowner,2024-06-01,2024-06-01
CUST-00103,homeowner,2024-03-26,2024-03-26
CUST-00104,homeowner,2025-03-06,2025-03-06
CUST-00106,homeowner,2025-07-13,2025-07-13
CUST-00108,homeowner,2025-09-05,2025-09-05
CUST-00109,homeowner,2024-10-21,2024-10-21
CUST-00110,homeowner,2024-10-04,2024-10-04
CUST-00110,homeowner,2025-04-17,2024-10-04
CUST-00117,homeowner,2025-04-18,2025-04-18
CUST-00122,homeowner,2025-03-12,2025-03-12
CUST-00126,homeowner,2024-11-07,2024-11-07
CUST-00130,homeowner,2025-04-13,2025-04-13
CUST-00132,homeowner,2024-05-04,2024-05-04
CUST-00132,homeowner,2024-10-16,2024-05-04
CUST-00133,homeowner,2024-07-04,2024-07-04
CUST-00141,homeowner,2025-07-11,2025-07-11
CUST-00142,homeowner,2025-06-01,2025-06-01
CUST-00149,homeowner,2025-06-14,2025-06-14
CUST-00155,homeowner,2025-06-03,2025-06-03
CUST-00159,homeowner,2024-07-16,2024-07-16
CUST-00160,homeowner,2024-10-04,2024-10-04
CUST-00161,homeowner,2025-03-31,2025-03-31
CUST-00175,homeowner,2024-08-19,2024-08-19
CUST-00181,homeowner,2024-09-01,2024-09-01
CUST-00183,homeowner,2024-08-09,2024-08-09
CUST-00184,homeowner,2025-09-04,2025-09-04
CUST-00187,homeowner,2024-08-24,2024-08-24
CUST-00191,homeowner,2024-05-24,2024-05-24
CUST-00192,homeowner,2024-08-19,2024-08-19
CUST-00193,homeowner,2024-12-03,2024-12-03
CUST-00193,homeowner,2025-03-13,2024-12-03
CUST-00196,homeowner,2024-09-22,2024-09-22
CUST-00205,homeowner,2024-09-22,2024-09-22
CUST-00210,homeowner,2024-09-22,2024-09-22
CUST-00211,homeowner,2024-03-01,2024-03-01
CUST-00213,homeowner,2025-01-27,2025-01-27
CUST-00217,homeowner,2024-08-09,2024-08-09
CUST-00218,homeowner,2024-11-03,2024-11-03
CUST-00223,homeowner,2025-06-15,2025-06-15
CUST-00228,homeowner,2025-07-07,2025-07-07
CUST-00231,homeowner,2024-12-22,2024-12-22
CUST-00235,homeowner,2024-05-17,2024-05-17
CUST-00238,homeowner,2025-04-14,2025-04-14
CUST-00242,homeowner,2025-03-19,2025-03-19
CUST-00247,homeowner,2025-08-06,2025-08-06
CUST-00248,homeowner,2024-07-06,2024-07-06
CUST-00261,homeowner,2025-08-17,2025-08-17
CUST-00265,homeowner,2024-03-10,2024-03-10
CUST-00265,homeowner,2024-09-24,2024-03-10
CUST-00268,homeowner,2025-06-18,2025-06-18
CUST-00269,homeowner,2024-06-22,2024-06-22
CUST-00271,homeowner,2024-06-07,2024-06-07
CUST-00278,homeowner,2025-07-10,2025-07-10
CUST-00279,homeowner,2025-08-23,2025-08-23
CUST-00280,homeowner,2025-06-08,2025-06-08
CUST-00280,homeowner,2025-08-30,2025-06-08
CUST-00283,homeowner,2024-08-31,2024-08-31
CUST-00287,homeowner,2025-04-18,2025-04-18
CUST-00293,homeowner,2024-12-10,2024-12-10
CUST-00299,homeowner,2024-05-06,2024-05-06
CUST-00301,homeowner,2024-11-18,2024-11-18
CUST-00302,homeowner,2024-08-11,2024-08-11
CUST-00302,homeowner,2025-05-21,2024-08-11
CUST-00303,homeowner,2025-01-03,2025-01-03
