user_id,segment,activity_date,cohort_date
CUST-00043,trade,2025-02-05,2025-02-05
CUST-00068,trade,2025-09-13,2025-09-13
CUST-00069,trade,2025-06-29,2025-06-29
CUST-00096,trade,2025-03-09,2025-03-09
CUST-00114,trade,2025-04-08,2025-04-08
CUST-00134,trade,2024-11-12,2024-11-12
CUST-00137,trade,2024-03-30,2024-03-30
CUST-00140,trade,2024-02-16,2024-02-16
CUST-00144,trade,2024-03-26,2024-03-26
CUST-00152,trade,2025-10-06,2025-10-06
CUST-00157,trade,2025-05-09,2025-05-09
CUST-00194,trade,2024-12-16,2024-12-16
CUST-00241,trade,2024-12-20,2024-12-20
CUST-00241,trade,2025-05-31,2024-12-20
CUST-00246,trade,2024-09-15,2024-09-15
CUST-00246,trade,2025-02-10,2024-09-15
CUST-00273,trade,2024-09-22,2024-09-22
CUST-00273,trade,2024-12-26,2024-09-22
CUST-00297,trade,2024-09-25,2024-09-25
CUST-00297,trade,2025-04-15,2024-09-25
CUST-00372,trade,2024-09-23,2024-09-23
CUST-00384,trade,2025-07-30,2025-07-30
CUST-00401,trade,2025-05-24,2025-05-24
CUST-00403,trade,2024-04-23,2024-04-23
CUST-00404,trade,2024-08-21,2024-08-21
CUST-00416,trade,2024-04-14,2024-04-14
CUST-00416,trade,2024-08-06,2024-04-14
CUST-00440,trade,2025-08-10,2025-08-10
CUST-00455,trade,2025-09-04,2025-09-04
CUST-00459,trade,2025-02-16,2025-02-16
CUST-00459,trade,2025-06-02,2025-02-16
CUST-00462,trade,2024-05-05,2024-05-05
CUST-00473,trade,2024-05-17,2024-05-17
CUST-00507,trade,2024-07-13,2024-07-13
CUST-00522,trade,2025-06-27,2025-06-27
CUST-00526,trade,2024-12-04,2024-12-04
CUST-00533,trade,2025-02-06,2025-02-06
CUST-00560,trade,2024-02-06,2024-02-06
CUST-00563,trade,2025-05-30,2025-05-30
CUST-00611,trade,2024-12-05,2024-12-05
CUST-00639,trade,2025-02-12,2025-02-12
CUST-00654,trade,2025-08-05,2025-08-05
CUST-00657,trade,2025-06-17,2025-06-17
CUST-00663,trade,2025-06-21,2025-06-21
CUST-00683,trade,2024-11-19,2024-11-19
CUST-00683,trade,2025-03-03,2024-11-19
CUST-00686,trade,2025-02-14,2025-02-14
CUST-00689,trade,2025-10-02,2025-10-02
CUST-00695,trade,2024-06-04,2024-06-04
CUST-00730,trade,2025-01-09,2025-01-09
CUST-00730,trade,2025-07-26,2025-01-09
CUST-00734,trade,2025-02-04,2025-02-04
CUST-00758,trade,2025-10-04,2025-10-04
CUST-00772,trade,2025-06-08,2025-06-08
CUST-00777,trade,2024-07-18,2024-07-18
CUST-00783,trade,2024-07-19,2024-07-19
CUST-00823,trade,2024-11-19,2024-11-19
CUST-00824,trade,2024-03-24,2024-03-24
CUST-00824,trade,2024-06-23,2024-03-24
CUST-00827,trade,2024-11-09,2024-11-09
CUST-00827,trade,2025-05-20,2024-11-09
CUST-00828,trade,2025-04-25,2025-04-25
CUST-00832,trade,2025-06-15,2025-06-15
CUST-00847,trade,2025-03-09,2025-03-09
CUST-00863,trade,2024-08-09,2024-08-09
CUST-00879,trade,2024-04-10,2024-04-10
CUST-00879,trade,2024-12-30,2024-04-10
CUST-00883,trade,2025-01-25,2025-01-25
CUST-00887,trade,2025-09-04,2025-09-04
CUST-00890,trade,2025-03-23,2025-03-23
CUST-00890,trade,2025-08-01,2025-03-23
CUST-00927,trade,2024-11-22,2024-11-22
CUST-00927,trade,2025-03-02,2024-11-22
CUST-00928,trade,2024-03-23,2024-03-23
CUST-00932,trade,2025-01-18,2025-01-18
CUST-00937,trade,2025-06-01,2025-06-01
CUST-00985,trade,2024-06-08,2024-06-08
CUST-00985,trade,2024-08-14,2024-06-08
CUST-00990,trade,2025-04-06,2025-04-06
CUST-00992,trade,2024-07-30,2024-07-30
CUST-00998,trade,2024-05-14,2024-05-14
CUST-00998,trade,2024-10-13,2024-05-14
CUST-01019,trade,2024-11-10,2024-11-10
CUST-01019,trade,2025-03-13,2024-11-10
CUST-01025,trade,2025-05-13,2025-05-13
CUST-01031,trade,2024-07-19,2024-07-19
CUST-01031,trade,2024-11-15,2024-07-19
CUST-01042,trade,2024-09-25,2024-09-25
CUST-01049,trade,2024-08-09,2024-08-09
CUST-01052,trade,2024-07-11,2024-07-11
CUST-01052,trade,2025-03-05,2024-07-11
CUST-01104,trade,2024-04-11,2024-04-11
CUST-01104,trade,2024-09-13,2024-04-11
