user_id,cohort_period,activity_period,period_number
CUST-00001,2024-11-01,2024-11-01,0
CUST-00003,2025-08-01,2025-08-01,0
CUST-00004,2024-03-01,2024-03-01,0
CUST-00006,2024-06-01,2024-06-01,0
CUST-00008,2025-02-01,2025-02-01,0
CUST-00010,2025-04-01,2025-04-01,0
CUST-00012,2025-09-01,2025-09-01,0
CUST-00013,2024-09-01,2024-09-01,0
CUST-00013,2024-09-01,2025-01-01,4
CUST-00015,2024-07-01,2024-07-01,0
CUST-00016,2025-02-01,2025-02-01,0
CUST-00019,2024-07-01,2024-07-01,0
CUST-00020,2024-08-01,2024-08-01,0
CUST-00023,2024-11-01,2024-11-01,0
CUST-00024,2024-12-01,2024-12-01,0
CUST-00025,2024-05-01,2024-05-01,0
CUST-00026,2025-06-01,2025-06-01,0
CUST-00028,2025-05-01,2025-05-01,0
CUST-00029,2024-09-01,2024-09-01,0
CUST-00033,2025-04-01,2025-04-01,0
CUST-00033,2025-04-01,2025-07-01,3
CUST-00036,2024-05-01,2024-05-01,0
CUST-00039,2024-07-01,2024-07-01,0
CUST-00042,2024-03-01,2024-03-01,0
CUST-00043,2025-02-01,2025-02-01,0
CUST-00044,2025-03-01,2025-03-01,0
CUST-00049,2025-09-01,2025-09-01,0
CUST-00050,2025-05-01,2025-05-01,0
CUST-00051,2024-02-01,2024-02-01,0
CUST-00054,2025-09-01,2025-09-01,0
CUST-00056,2025-01-01,2025-01-01,0
CUST-00056,2025-01-01,2025-05-01,4
CUST-00057,2025-09-01,2025-09-01,0
CUST-00058,2024-04-01,2024-04-01,0
CUST-00059,2024-09-01,2024-09-01,0
CUST-00059,2024-09-01,2025-02-01,5
CUST-00060,2025-03-01,2025-03-01,0
CUST-00062,2024-12-01,2024-12-01,0
CUST-00067,2024-07-01,2024-07-01,0
CUST-00068,2025-09-01,2025-09-01,0
CUST-00069,2025-06-01,2025-06-01,0
CUST-00070,2024-10-01,2024-10-01,0
CUST-00076,2025-09-01,2025-09-01,0
CUST-00078,2024-03-01,2024-03-01,0
CUST-00084,2024-05-01,2024-05-01,0
CUST-00087,2024-03-01,2024-03-01,0
CUST-00088,2025-05-01,2025-05-01,0
CUST-00091,2025-06-01,2025-06-01,0
CUST-00093,2025-07-01,2025-07-01,0
CUST-00096,2025-03-01,2025-03-01,0
CUST-00099,2024-06-01,2024-06-01,0
CUST-00103,2024-03-01,2024-03-01,0
CUST-00104,2025-03-01,2025-03-01,0
CUST-00106,2025-07-01,2025-07-01,0
CUST-00107,2024-08-01,2024-08-01,0
CUST-00107,2024-08-01,2025-04-01,8
CUST-00108,2025-09-01,2025-09-01,0
CUST-00109,2024-10-01,2024-10-01,0
CUST-00110,2024-10-01,2024-10-01,0
CUST-00110,2024-10-01,2025-04-01,6
CUST-00114,2025-04-01,2025-04-01,0
CUST-00116,2024-06-01,2024-06-01,0
CUST-00117,2025-04-01,2025-04-01,0
CUST-00118,2024-05-01,2024-05-01,0
CUST-00122,2025-03-01,2025-03-01,0
CUST-00123,2025-01-01,2025-01-01,0
CUST-00125,2024-07-01,2024-07-01,0
CUST-00126,2024-11-01,2024-11-01,0
CUST-00127,2024-12-01,2024-12-01,0
CUST-00130,2025-04-01,2025-04-01,0
CUST-00132,2024-05-01,2024-05-01,0
CUST-00132,2024-05-01,2024-10-01,5
CUST-00133,2024-07-01,2024-07-01,0
CUST-00134,2024-11-01,2024-11-01,0
CUST-00137,2024-03-01,2024-03-01,0
CUST-00140,2024-02-01,2024-02-01,0
CUST-00141,2025-07-01,2025-07-01,0
CUST-00142,2025-06-01,2025-06-01,0
CUST-00144,2024-03-01,2024-03-01,0
CUST-00149,2025-06-01,2025-06-01,0
CUST-00152,2025-10-01,2025-10-01,0
CUST-00155,2025-06-01,2025-06-01,0
CUST-00157,2025-05-01,2025-05-01,0
CUST-00159,2024-07-01,2024-07-01,0
CUST-00160,2024-10-01,2024-10-01,0
CUST-00161,2025-03-01,2025-03-01,0
CUST-00162,2024-03-01,2024-03-01,0
CUST-00168,2024-10-01,2024-10-01,0
CUST-00168,2024-10-01,2025-01-01,3
CUST-00169,2024-08-01,2024-08-01,0
CUST-00170,2024-06-01,2024-06-01,0
CUST-00171,2024-03-01,2024-03-01,0
CUST-00171,2024-03-01,2024-10-01,7
CUST-00172,2025-04-01,2025-04-01,0
CUST-00175,2024-08-01,2024-08-01,0
CUST-00181,2024-09-01,2024-09-01,0
CUST-00183,2024-08-01,2024-08-01,0
CUST-00184,2025-09-01,2025-09-01,0
