user_id,cohort_period,activity_period,period_number
CUST-00003,2025-08-01,2025-08-01,0
CUST-00013,2024-09-01,2024-09-01,0
CUST-00013,2024-09-01,2025-01-01,4
CUST-00033,2025-04-01,2025-04-01,0
CUST-00033,2025-04-01,2025-07-01,3
CUST-00057,2025-09-01,2025-09-01,0
CUST-00078,2024-03-01,2024-03-01,0
CUST-00169,2024-08-01,2024-08-01,0
CUST-00185,2025-08-01,2025-08-01,0
CUST-00298,2024-12-01,2024-12-01,0
CUST-00307,2025-03-01,2025-03-01,0
CUST-00344,2025-09-01,2025-09-01,0
CUST-00345,2025-10-01,2025-10-01,0
CUST-00352,2025-04-01,2025-04-01,0
CUST-00408,2024-12-01,2024-12-01,0
CUST-00408,2024-12-01,2025-06-01,6
CUST-00428,2024-08-01,2024-08-01,0
CUST-00438,2024-09-01,2024-09-01,0
CUST-00479,2025-01-01,2025-01-01,0
CUST-00509,2024-11-01,2024-11-01,0
CUST-00602,2025-02-01,2025-02-01,0
CUST-00650,2024-11-01,2024-11-01,0
CUST-00650,2024-11-01,2025-05-01,6
CUST-00652,2025-04-01,2025-04-01,0
CUST-00697,2025-03-01,2025-03-01,0
CUST-00706,2024-09-01,2024-09-01,0
CUST-00774,2024-12-01,2024-12-01,0
CUST-00778,2025-01-01,2025-01-01,0
CUST-00778,2025-01-01,2025-07-01,6
CUST-00802,2025-05-01,2025-05-01,0
CUST-00860,2025-04-01,2025-04-01,0
CUST-00874,2025-07-01,2025-07-01,0
CUST-01003,2024-06-01,2024-06-01,0
CUST-01003,2024-06-01,2024-08-01,2
CUST-01090,2024-12-01,2024-12-01,0
CUST-01100,2024-09-01,2024-09-01,0
CUST-01107,2024-10-01,2024-10-01,0
CUST-01151,2024-07-01,2024-07-01,0
CUST-01346,2025-06-01,2025-06-01,0
CUST-01385,2025-06-01,2025-06-01,0
CUST-01407,2025-03-01,2025-03-01,0
CUST-01418,2024-11-01,2024-11-01,0
CUST-01418,2024-11-01,2025-05-01,6
CUST-01450,2025-07-01,2025-07-01,0
CUST-01453,2025-01-01,2025-01-01,0
CUST-01545,2025-08-01,2025-08-01,0
CUST-01650,2024-09-01,2024-09-01,0
CUST-01805,2025-02-01,2025-02-01,0
CUST-01805,2025-02-01,2025-06-01,4
CUST-01883,2025-02-01,2025-02-01,0
CUST-01883,2025-02-01,2025-07-01,5
CUST-01975,2024-04-01,2024-04-01,0
CUST-01977,2024-11-01,2024-11-01,0
CUST-02016,2024-04-01,2024-04-01,0
CUST-02058,2024-09-01,2024-09-01,0
CUST-02128,2024-12-01,2024-12-01,0
CUST-02233,2025-05-01,2025-05-01,0
CUST-02241,2024-05-01,2024-05-01,0
CUST-02241,2024-05-01,2024-10-01,5
CUST-02281,2024-09-01,2024-09-01,0
CUST-02365,2025-01-01,2025-01-01,0
CUST-02494,2025-04-01,2025-04-01,0
CUST-02510,2025-10-01,2025-10-01,0
CUST-02550,2024-11-01,2024-11-01,0
CUST-02551,2024-04-01,2024-04-01,0
CUST-02638,2025-08-01,2025-08-01,0
CUST-02642,2024-04-01,2024-04-01,0
CUST-02645,2024-08-01,2024-08-01,0
CUST-02648,2024-09-01,2024-09-01,0
CUST-02648,2024-09-01,2025-03-01,6
CUST-02707,2025-10-01,2025-10-01,0
CUST-02734,2024-12-01,2024-12-01,0
CUST-02734,2024-12-01,2025-05-01,5
CUST-02736,2024-03-01,2024-03-01,0
CUST-02744,2024-02-01,2024-02-01,0
CUST-02862,2025-06-01,2025-06-01,0
CUST-02937,2025-07-01,2025-07-01,0
CUST-02967,2024-12-01,2024-12-01,0
CUST-03018,2025-08-01,2025-08-01,0
CUST-03076,2024-11-01,2024-11-01,0
CUST-03144,2024-11-01,2024-11-01,0
CUST-03156,2024-02-01,2024-02-01,0
CUST-03156,2024-02-01,2024-05-01,3
CUST-03193,2024-08-01,2024-08-01,0
CUST-03194,2025-04-01,2025-04-01,0
