user_id,cohort_period,activity_period,period_number
CUST-00001,2024-11-01,2024-11-01,0
CUST-00004,2024-03-01,2024-03-01,0
CUST-00015,2024-07-01,2024-07-01,0
CUST-00019,2024-07-01,2024-07-01,0
CUST-00025,2024-05-01,2024-05-01,0
CUST-00026,2025-06-01,2025-06-01,0
CUST-00039,2024-07-01,2024-07-01,0
CUST-00042,2024-03-01,2024-03-01,0
CUST-00049,2025-09-01,2025-09-01,0
CUST-00050,2025-05-01,2025-05-01,0
CUST-00056,2025-01-01,2025-01-01,0
CUST-00056,2025-01-01,2025-05-01,4
CUST-00058,2024-04-01,2024-04-01,0
CUST-00060,2025-03-01,2025-03-01,0
CUST-00062,2024-12-01,2024-12-01,0
CUST-00076,2025-09-01,2025-09-01,0
CUST-00091,2025-06-01,2025-06-01,0
CUST-00093,2025-07-01,2025-07-01,0
CUST-00107,2024-08-01,2024-08-01,0
CUST-00107,2024-08-01,2025-04-01,8
CUST-00116,2024-06-01,2024-06-01,0
CUST-00118,2024-05-01,2024-05-01,0
CUST-00123,2025-01-01,2025-01-01,0
CUST-00125,2024-07-01,2024-07-01,0
CUST-00127,2024-12-01,2024-12-01,0
CUST-00162,2024-03-01,2024-03-01,0
CUST-00168,2024-10-01,2024-10-01,0
CUST-00168,2024-10-01,2025-01-01,3
CUST-00170,2024-06-01,2024-06-01,0
CUST-00171,2024-03-01,2024-03-01,0
CUST-00171,2024-03-01,2024-10-01,7
CUST-00172,2025-04-01,2025-04-01,0
CUST-00207,2024-05-01,2024-05-01,0
CUST-00221,2025-03-01,2025-03-01,0
CUST-00225,2025-08-01,2025-08-01,0
CUST-00250,2024-10-01,2024-10-01,0
CUST-00250,2024-10-01,2025-05-01,7
CUST-00252,2025-08-01,2025-08-01,0
CUST-00257,2024-03-01,2024-03-01,0
CUST-00258,2025-08-01,2025-08-01,0
CUST-00259,2025-04-01,2025-04-01,0
CUST-00259,2025-04-01,2025-08-01,4
CUST-00276,2025-02-01,2025-02-01,0
CUST-00290,2025-09-01,2025-09-01,0
CUST-00295,2024-10-01,2024-10-01,0
CUST-00310,2024-02-01,2024-02-01,0
CUST-00312,2024-08-01,2024-08-01,0
CUST-00312,2024-08-01,2024-12-01,4
CUST-00314,2024-05-01,2024-05-01,0
CUST-00329,2024-11-01,2024-11-01,0
CUST-00348,2025-08-01,2025-08-01,0
CUST-00350,2025-02-01,2025-02-01,0
CUST-00353,2025-06-01,2025-06-01,0
CUST-00376,2025-08-01,2025-08-01,0
CUST-00377,2024-08-01,2024-08-01,0
CUST-00382,2024-10-01,2024-10-01,0
CUST-00382,2024-10-01,2025-01-01,3
CUST-00383,2024-12-01,2024-12-01,0
CUST-00383,2024-12-01,2025-03-01,3
CUST-00390,2024-04-01,2024-04-01,0
CUST-00407,2024-03-01,2024-03-01,0
CUST-00407,2024-03-01,2024-11-01,8
CUST-00415,2024-07-01,2024-07-01,0
CUST-00432,2025-06-01,2025-06-01,0
CUST-00456,2024-02-01,2024-02-01,0
CUST-00456,2024-02-01,2024-11-01,9
CUST-00466,2024-01-01,2024-01-01,0
CUST-00466,2024-01-01,2024-10-01,9
CUST-00468,2025-03-01,2025-03-01,0
CUST-00477,2024-05-01,2024-05-01,0
CUST-00493,2024-02-01,2024-02-01,0
CUST-00502,2024-11-01,2024-11-01,0
CUST-00505,2024-02-01,2024-02-01,0
CUST-00516,2025-06-01,2025-06-01,0
CUST-00518,2024-10-01,2024-10-01,0
CUST-00518,2024-10-01,2024-12-01,2
CUST-00520,2025-09-01,2025-09-01,0
CUST-00523,2025-08-01,2025-08-01,0
CUST-00530,2024-09-01,2024-09-01,0
CUST-00542,2024-09-01,2024-09-01,0
CUST-00548,2025-06-01,2025-06-01,0
CUST-00559,2025-04-01,2025-04-01,0
CUST-00569,2024-03-01,2024-03-01,0
CUST-00569,2024-03-01,2024-08-01,5
CUST-00581,2024-12-01,2024-12-01,0
CUST-00587,2024-09-01,2024-09-01,0
CUST-00595,2024-10-01,2024-10-01,0
CUST-00607,2025-09-01,2025-09-01,0
CUST-00616,2024-07-01,2024-07-01,0
CUST-00616,2024-07-01,2025-04-01,9
CUST-00632,2025-07-01,2025-07-01,0
CUST-00634,2025-04-01,2025-04-01,0
CUST-00636,2025-06-01,2025-06-01,0
CUST-00637,2024-04-01,2024-04-01,0
CUST-00642,2025-07-01,2025-07-01,0
CUST-00670,2024-09-01,2024-09-01,0
CUST-00673,2025-09-01,2025-09-01,0
CUST-00702,2024-11-01,2024-11-01,0
CUST-00702,2024-11-01,2025-05-01,6
CUST-00718,2025-03-01,2025-03-01,0
CUST-00735,2024-05-01,2024-05-01,0
CUST-00746,2024-11-01,2024-11-01,0
CUST-00747,2025-10-01,2025-10-01,0
CUST-00764,2025-01-01,2025-01-01,0
CUST-00770,2024-02-01,2024-02-01,0
CUST-00775,2024-12-01,2024-12-01,0
CUST-00776,2025-06-01,2025-06-01,0
CUST-00789,2025-04-01,2025-04-01,0
CUST-00815,2024-11-01,2024-11-01,0
CUST-00816,2024-10-01,2024-10-01,0
CUST-00829,2025-04-01,2025-04-01,0
CUST-00848,2025-07-01,2025-07-01,0
CUST-00871,2024-03-01,2024-03-01,0
CUST-00872,2024-05-01,2024-05-01,0
CUST-00872,2024-05-01,2024-07-01,2
CUST-00873,2025-07-01,2025-07-01,0
CUST-00892,2024-07-01,2024-07-01,0
CUST-00899,2024-07-01,2024-07-01,0
CUST-00902,2025-01-01,2025-01-01,0
CUST-00917,2024-12-01,2024-12-01,0
CUST-00917,2024-12-01,2025-05-01,5
CUST-00926,2025-10-01,2025-10-01,0
CUST-00946,2024-07-01,2024-07-01,0
CUST-00951,2025-01-01,2025-01-01,0
CUST-00960,2025-05-01,2025-05-01,0
CUST-00963,2025-06-01,2025-06-01,0
CUST-00969,2024-07-01,2024-07-01,0
CUST-00972,2024-09-01,2024-09-01,0
CUST-00978,2024-04-01,2024-04-01,0
CUST-00989,2024-03-01,2024-03-01,0
CUST-01001,2025-07-01,2025-07-01,0
CUST-01007,2025-09-01,2025-09-01,0
CUST-01010,2025-03-01,2025-03-01,0
CUST-01010,2025-03-01,2025-05-01,2
CUST-01027,2024-07-01,2024-07-01,0
CUST-01028,2024-07-01,2024-07-01,0
CUST-01029,2024-11-01,2024-11-01,0
CUST-01040,2024-05-01,2024-05-01,0
CUST-01044,2024-08-01,2024-08-01,0
CUST-01050,2024-06-01,2024-06-01,0
CUST-01064,2024-08-01,2024-08-01,0
CUST-01066,2024-02-01,2024-02-01,0
CUST-01066,2024-02-01,2024-10-01,8
CUST-01069,2024-06-01,2024-06-01,0
CUST-01069,2024-06-01,2024-10-01,4
CUST-01079,2024-03-01,2024-03-01,0
CUST-01082,2025-07-01,2025-07-01,0
CUST-01092,2025-09-01,2025-09-01,0
CUST-01093,2024-12-01,2024-12-01,0
CUST-01101,2024-09-01,2024-09-01,0
CUST-01101,2024-09-01,2024-12-01,3
CUST-01102,2025-08-01,2025-08-01,0
CUST-01106,2024-05-01,2024-05-01,0
CUST-01127,2025-02-01,2025-02-01,0
CUST-01129,2025-04-01,2025-04-01,0
CUST-01129,2025-04-01,2025-07-01,3
CUST-01132,2025-09-01,2025-09-01,0
CUST-01136,2025-07-01,2025-07-01,0
CUST-01137,2024-08-01,2024-08-01,0
CUST-01139,2025-05-01,2025-05-01,0
