user_id,cohort_period,activity_period,period_number
CUST-00043,2025-02-01,2025-02-01,0
CUST-00068,2025-09-01,2025-09-01,0
CUST-00069,2025-06-01,2025-06-01,0
CUST-00096,2025-03-01,2025-03-01,0
CUST-00114,2025-04-01,2025-04-01,0
CUST-00134,2024-11-01,2024-11-01,0
CUST-00137,2024-03-01,2024-03-01,0
CUST-00140,2024-02-01,2024-02-01,0
CUST-00144,2024-03-01,2024-03-01,0
CUST-00152,2025-10-01,2025-10-01,0
CUST-00157,2025-05-01,2025-05-01,0
CUST-00194,2024-12-01,2024-12-01,0
CUST-00241,2024-12-01,2024-12-01,0
CUST-00241,2024-12-01,2025-05-01,5
CUST-00246,2024-09-01,2024-09-01,0
CUST-00246,2024-09-01,2025-02-01,5
CUST-00273,2024-09-01,2024-09-01,0
CUST-00273,2024-09-01,2024-12-01,3
CUST-00297,2024-09-01,2024-09-01,0
CUST-00297,2024-09-01,2025-04-01,7
CUST-00372,2024-09-01,2024-09-01,0
CUST-00384,2025-07-01,2025-07-01,0
CUST-00401,2025-05-01,2025-05-01,0
CUST-00403,2024-04-01,2024-04-01,0
CUST-00404,2024-08-01,2024-08-01,0
CUST-00416,2024-04-01,2024-04-01,0
CUST-00416,2024-04-01,2024-08-01,4
CUST-00440,2025-08-01,2025-08-01,0
CUST-00455,2025-09-01,2025-09-01,0
CUST-00459,2025-02-01,2025-02-01,0
CUST-00459,2025-02-01,2025-06-01,4
CUST-00462,2024-05-01,2024-05-01,0
CUST-00473,2024-05-01,2024-05-01,0
CUST-00507,2024-07-01,2024-07-01,0
CUST-00522,2025-06-01,2025-06-01,0
CUST-00526,2024-12-01,2024-12-01,0
CUST-00533,2025-02-01,2025-02-01,0
CUST-00560,2024-02-01,2024-02-01,0
CUST-00563,2025-05-01,2025-05-01,0
CUST-00611,2024-12-01,2024-12-01,0
CUST-00639,2025-02-01,2025-02-01,0
CUST-00654,2025-08-01,2025-08-01,0
CUST-00657,2025-06-01,2025-06-01,0
CUST-00663,2025-06-01,2025-06-01,0
CUST-00683,2024-11-01,2024-11-01,0
CUST-00683,2024-11-01,2025-03-01,4
CUST-00686,2025-02-01,2025-02-01,0
CUST-00689,2025-10-01,2025-10-01,0
CUST-00695,2024-06-01,2024-06-01,0
CUST-00730,2025-01-01,2025-01-01,0
CUST-00730,2025-01-01,2025-07-01,6
CUST-00734,2025-02-01,2025-02-01,0
CUST-00758,2025-10-01,2025-10-01,0
CUST-00772,2025-06-01,2025-06-01,0
CUST-00777,2024-07-01,2024-07-01,0
CUST-00783,2024-07-01,2024-07-01,0
CUST-00823,2024-11-01,2024-11-01,0
CUST-00824,2024-03-01,2024-03-01,0
CUST-00824,2024-03-01,2024-06-01,3
CUST-00827,2024-11-01,2024-11-01,0
CUST-00827,2024-11-01,2025-05-01,6
CUST-00828,2025-04-01,2025-04-01,0
CUST-00832,2025-06-01,2025-06-01,0
CUST-00847,2025-03-01,2025-03-01,0
CUST-00863,2024-08-01,2024-08-01,0
CUST-00879,2024-04-01,2024-04-01,0
CUST-00879,2024-04-01,2024-12-01,8
CUST-00883,2025-01-01,2025-01-01,0
CUST-00887,2025-09-01,2025-09-01,0
CUST-00890,2025-03-01,2025-03-01,0
CUST-00890,2025-03-01,2025-08-01,5
CUST-00927,2024-11-01,2024-11-01,0
CUST-00927,2024-11-01,2025-03-01,4
CUST-00928,2024-03-01,2024-03-01,0
CUST-00932,2025-01-01,2025-01-01,0
CUST-00937,2025-06-01,2025-06-01,0
CUST-00985,2024-06-01,2024-06-01,0
CUST-00985,2024-06-01,2024-08-01,2
CUST-00990,2025-04-01,2025-04-01,0
CUST-00992,2024-07-01,2024-07-01,0
CUST-00998,2024-05-01,2024-05-01,0
CUST-00998,2024-05-01,2024-10-01,5
CUST-01019,2024-11-01,2024-11-01,0
CUST-01019,2024-11-01,2025-03-01,4
CUST-01025,2025-05-01,2025-05-01,0
CUST-01031,2024-07-01,2024-07-01,0
CUST-01031,2024-07-01,2024-11-01,4
CUST-01042,2024-09-01,2024-09-01,0
CUST-01049,2024-08-01,2024-08-01,0
CUST-01052,2024-07-01,2024-07-01,0
CUST-01052,2024-07-01,2025-03-01,8
CUST-01104,2024-04-01,2024-04-01,0
CUST-01104,2024-04-01,2024-09-01,5
CUST-01112,2024-12-01,2024-12-01,0
CUST-01144,2024-12-01,2024-12-01,0
CUST-01148,2024-03-01,2024-03-01,0
CUST-01158,2024-04-01,2024-04-01,0
CUST-01158,2024-04-01,2024-12-01,8
CUST-01186,2025-02-01,2025-02-01,0
CUST-01186,2025-02-01,2025-07-01,5
CUST-01200,2024-08-01,2024-08-01,0
CUST-01211,2024-08-01,2024-08-01,0
CUST-01211,2024-08-01,2024-11-01,3
CUST-01230,2024-02-01,2024-02-01,0
CUST-01248,2025-06-01,2025-06-01,0
CUST-01253,2025-05-01,2025-05-01,0
CUST-01256,2024-11-01,2024-11-01,0
CUST-01259,2024-08-01,2024-08-01,0
CUST-01271,2024-03-01,2024-03-01,0
CUST-01271,2024-03-01,2024-12-01,9
CUST-01281,2025-04-01,2025-04-01,0
CUST-01302,2024-03-01,2024-03-01,0
CUST-01311,2024-10-01,2024-10-01,0
CUST-01314,2025-01-01,2025-01-01,0
CUST-01350,2025-08-01,2025-08-01,0
CUST-01362,2024-04-01,2024-04-01,0
CUST-01390,2025-05-01,2025-05-01,0
CUST-01392,2025-10-01,2025-10-01,0
CUST-01432,2024-11-01,2024-11-01,0
CUST-01432,2024-11-01,2025-07-01,8
CUST-01468,2025-04-01,2025-04-01,0
CUST-01488,2025-03-01,2025-03-01,0
CUST-01490,2025-05-01,2025-05-01,0
CUST-01504,2024-03-01,2024-03-01,0
CUST-01504,2024-03-01,2024-12-01,9
CUST-01526,2025-01-01,2025-01-01,0
CUST-01547,2025-05-01,2025-05-01,0
CUST-01547,2025-05-01,2025-08-01,3
CUST-01558,2024-10-01,2024-10-01,0
CUST-01558,2024-10-01,2025-04-01,6
CUST-01562,2025-08-01,2025-08-01,0
CUST-01572,2025-09-01,2025-09-01,0
CUST-01599,2025-03-01,2025-03-01,0
CUST-01633,2025-03-01,2025-03-01,0
CUST-01639,2025-07-01,2025-07-01,0
CUST-01647,2024-08-01,2024-08-01,0
CUST-01666,2024-04-01,2024-04-01,0
CUST-01700,2025-02-01,2025-02-01,0
CUST-01730,2025-01-01,2025-01-01,0
CUST-01731,2024-08-01,2024-08-01,0
CUST-01755,2025-07-01,2025-07-01,0
CUST-01788,2024-03-01,2024-03-01,0
CUST-01788,2024-03-01,2024-05-01,2
CUST-01851,2025-05-01,2025-05-01,0
CUST-01852,2024-09-01,2024-09-01,0
CUST-01870,2025-01-01,2025-01-01,0
CUST-01911,2025-07-01,2025-07-01,0
CUST-01925,2025-05-01,2025-05-01,0
CUST-01933,2024-04-01,2024-04-01,0
CUST-01933,2024-04-01,2024-12-01,8
CUST-01943,2025-03-01,2025-03-01,0
CUST-01944,2024-11-01,2024-11-01,0
CUST-01956,2024-08-01,2024-08-01,0
CUST-01956,2024-08-01,2025-01-01,5
CUST-01988,2024-01-01,2024-01-01,0
CUST-01994,2024-05-01,2024-05-01,0
CUST-01994,2024-05-01,2024-10-01,5
CUST-01997,2025-09-01,2025-09-01,0
CUST-02007,2024-05-01,2024-05-01,0
CUST-02040,2025-09-01,2025-09-01,0
CUST-02052,2024-02-01,2024-02-01,0
CUST-02098,2024-09-01,2024-09-01,0
CUST-02098,2024-09-01,2025-05-01,8
CUST-02102,2025-09-01,2025-09-01,0
CUST-02106,2024-11-01,2024-11-01,0
CUST-02131,2024-07-01,2024-07-01,0
CUST-02131,2024-07-01,2025-02-01,7
CUST-02139,2025-02-01,2025-02-01,0
CUST-02143,2025-09-01,2025-09-01,0
CUST-02157,2024-12-01,2024-12-01,0
CUST-02168,2025-01-01,2025-01-01,0
CUST-02184,2025-08-01,2025-08-01,0
CUST-02193,2024-08-01,2024-08-01,0
CUST-02249,2024-06-01,2024-06-01,0
CUST-02264,2024-02-01,2024-02-01,0
CUST-02266,2025-02-01,2025-02-01,0
CUST-02266,2025-02-01,2025-07-01,5
CUST-02267,2025-05-01,2025-05-01,0
CUST-02292,2024-07-01,2024-07-01,0
CUST-02313,2025-03-01,2025-03-01,0
