cohort_period,Cohort Size,Period 0,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,Period 9,Period 10
2024-01-01,8,100.0,,,,,,,,12.5,
2024-02-01,47,100.0,,2.1,4.3,,,2.1,2.1,4.3,
2024-03-01,79,100.0,2.5,2.5,,2.5,2.5,3.8,3.8,6.3,
2024-04-01,79,100.0,,,3.8,3.8,2.5,3.8,3.8,1.3,1.3
2024-05-01,72,100.0,6.9,1.4,,5.6,1.4,,,,
2024-06-01,62,100.0,8.1,1.6,3.2,3.2,4.8,,3.2,3.2,1.6
2024-07-01,77,100.0,1.3,,3.9,1.3,1.3,3.9,2.6,3.9,
2024-08-01,92,100.0,1.1,4.3,5.4,1.1,3.3,2.2,2.2,4.3,
2024-09-01,64,100.0,1.6,3.1,3.1,3.1,6.2,4.7,1.6,3.1,1.6
2024-10-01,70,100.0,1.4,5.7,1.4,4.3,5.7,1.4,2.9,,1.4
2024-11-01,62,100.0,,,6.5,,6.5,4.8,3.2,,
2024-12-01,81,100.0,1.2,2.5,1.2,3.7,2.5,2.5,1.2,,
2025-01-01,71,100.0,,1.4,5.6,,8.5,2.8,,,
2025-02-01,71,100.0,1.4,7.0,7.0,7.0,1.4,,,,
2025-03-01,62,100.0,4.8,,3.2,4.8,,,,,
2025-04-01,65,100.0,,3.1,3.1,,,,,,
2025-05-01,72,100.0,5.6,5.6,,,,,,,
2025-06-01,77,100.0,3.9,,,,,,,,
2025-07-01,65,100.0,,,,,,,,,
2025-08-01,59,100.0,,,,,,,,,
2025-09-01,64,100.0,,,,,,,,,
2025-10-01,31,100.0,,,,,,,,,
2025-11-01,3,100.0,,,,,,,,,
