cohort_period,Cohort Size,Period 0,Period 2,Period 3,Period 4,Period 5,Period 6
2024-02-01,2,100.0,,50.0,,,
2024-03-01,2,100.0,,,,,
2024-04-01,4,100.0,,,,,
2024-05-01,1,100.0,,,,100.0,
2024-06-01,1,100.0,100.0,,,,
2024-07-01,1,100.0,,,,,
2024-08-01,4,100.0,,,,,
2024-09-01,8,100.0,,,12.5,,12.5
2024-10-01,1,100.0,,,,,
2024-11-01,7,100.0,,,,,28.6
2024-12-01,7,100.0,,,,14.3,14.3
2025-01-01,4,100.0,,,,,25.0
2025-02-01,3,100.0,,,33.3,33.3,
2025-03-01,3,100.0,,,,,
2025-04-01,6,100.0,,16.7,,,
2025-05-01,2,100.0,,,,,
2025-06-01,3,100.0,,,,,
2025-07-01,3,100.0,,,,,
2025-08-01,5,100.0,,,,,
2025-09-01,2,100.0,,,,,
2025-10-01,3,100.0,,,,,
