cohort_period,Cohort Size,Period 0,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,Period 9,Period 10
2024-01-01,4,100.0,,,,,,,,25.0,
2024-02-01,20,100.0,,,5.0,,,5.0,5.0,10.0,
2024-03-01,24,100.0,4.2,,,4.2,,8.3,8.3,4.2,
2024-04-01,15,100.0,,,,,,6.7,,,6.7
2024-05-01,16,100.0,12.5,,,,,,,,
2024-06-01,26,100.0,3.8,3.8,7.7,3.8,,,7.7,3.8,3.8
2024-07-01,23,100.0,,,4.3,,,,,8.7,
2024-08-01,21,100.0,,,9.5,,,,4.8,9.5,
2024-09-01,15,100.0,,6.7,,,13.3,,,6.7,6.7
2024-10-01,25,100.0,4.0,8.0,4.0,8.0,4.0,4.0,4.0,,
2024-11-01,19,100.0,,,5.3,,5.3,10.5,5.3,,
2024-12-01,24,100.0,,4.2,4.2,4.2,,4.2,4.2,,
2025-01-01,24,100.0,,,8.3,,12.5,4.2,,,
2025-02-01,14,100.0,,28.6,7.1,7.1,7.1,,,,
2025-03-01,13,100.0,15.4,,7.7,7.7,,,,,
2025-04-01,16,100.0,,6.2,6.2,,,,,,
2025-05-01,16,100.0,18.8,,,,,,,,
2025-06-01,30,100.0,,,,,,,,,
2025-07-01,16,100.0,,,,,,,,,
2025-08-01,15,100.0,,,,,,,,,
2025-09-01,22,100.0,,,,,,,,,
2025-10-01,4,100.0,,,,,,,,,
