cohort_period,Cohort Size,Period 0,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,Period 9,Period 10
2024-01-01,3,100.0,,,,,,,,,
2024-02-01,19,100.0,,,5.3,,,,,,
2024-03-01,43,100.0,,2.3,,2.3,4.7,2.3,2.3,4.7,
2024-04-01,50,100.0,,,4.0,4.0,4.0,4.0,,2.0,
2024-05-01,47,100.0,4.3,2.1,,2.1,2.1,,,,
2024-06-01,28,100.0,7.1,,,3.6,3.6,,,3.6,
2024-07-01,43,100.0,2.3,,2.3,2.3,,2.3,2.3,2.3,
2024-08-01,56,100.0,1.8,5.4,3.6,,5.4,3.6,1.8,3.6,
2024-09-01,30,100.0,3.3,,3.3,3.3,3.3,6.7,,,
2024-10-01,40,100.0,,5.0,,2.5,5.0,,,,2.5
2024-11-01,25,100.0,,,,,,4.0,,,
2024-12-01,42,100.0,2.4,2.4,,,2.4,2.4,,,
2025-01-01,33,100.0,,3.0,6.1,,3.0,3.0,,,
2025-02-01,40,100.0,2.5,2.5,2.5,2.5,,,,,
2025-03-01,35,100.0,2.9,,,2.9,,,,,
2025-04-01,36,100.0,,,2.8,,,,,,
2025-05-01,41,100.0,2.4,7.3,,,,,,,
2025-06-01,35,100.0,5.7,,,,,,,,
2025-07-01,40,100.0,,,,,,,,,
2025-08-01,30,100.0,,,,,,,,,
2025-09-01,31,100.0,,,,,,,,,
2025-10-01,19,100.0,,,,,,,,,
2025-11-01,2,100.0,,,,,,,,,
