cohort_period,Cohort Size,Period 0,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,Period 9
2024-01-01,1,100.0,,,,,,,,
2024-02-01,6,100.0,,,,,,,,
2024-03-01,10,100.0,10.0,10.0,,,,,,20.0
2024-04-01,10,100.0,,,10.0,10.0,,,30.0,
2024-05-01,8,100.0,12.5,,,25.0,,,,
2024-06-01,7,100.0,14.3,,,,28.6,,,
2024-07-01,10,100.0,,,10.0,,10.0,20.0,10.0,
2024-08-01,11,100.0,,9.1,9.1,9.1,,,,
2024-09-01,11,100.0,,9.1,,9.1,,9.1,9.1,9.1
2024-10-01,4,100.0,,,,,25.0,,25.0,
2024-11-01,11,100.0,,,27.3,,9.1,,9.1,
2024-12-01,8,100.0,,,,12.5,,,,
2025-01-01,10,100.0,,,,,10.0,,,
2025-02-01,14,100.0,,,14.3,14.3,,,,
2025-03-01,11,100.0,,,9.1,9.1,,,,
2025-04-01,7,100.0,,,,,,,,
2025-05-01,13,100.0,,7.7,,,,,,
2025-06-01,9,100.0,11.1,,,,,,,
2025-07-01,6,100.0,,,,,,,,
2025-08-01,9,100.0,,,,,,,,
2025-09-01,9,100.0,,,,,,,,
2025-10-01,5,100.0,,,,,,,,
2025-11-01,1,100.0,,,,,,,,
