customer_id,segment,source_channel,signup_date,region,company_name,email_opt_in
CUST-00001,designer,organic_search,2024-10-08,CO,,1
CUST-00002,homeowner,organic_search,2024-12-10,NY,,1
CUST-00003,commercial,trade_show,2025-07-19,GA,Ashford Interiors,1
CUST-00004,designer,direct,2024-02-27,CO,,1
CUST-00005,homeowner,organic_search,2024-05-21,VA,,1
CUST-00006,homeowner,showroom_walkin,2024-04-24,GA,,1
CUST-00007,trade,architect_referral,2024-11-10,CO,Northline Architecture Group,1
CUST-00008,homeowner,paid_social,2025-01-17,OH,,1
CUST-00009,homeowner,direct,2025-02-20,TX,,1
CUST-00010,homeowner,organic_search,2025-04-18,CO,,1
CUST-00011,designer,architect_referral,2025-05-13,IL,,1
CUST-00012,homeowner,organic_search,2025-08-06,CO,,1
CUST-00013,commercial,direct,2024-09-07,NC,Union Construction,1
CUST-00014,trade,trade_show,2024-09-14,WA,Coastal Construction,1
CUST-00015,designer,organic_search,2024-05-10,WA,,0
CUST-00016,homeowner,showroom_walkin,2024-12-06,PA,,0
CUST-00017,commercial,trade_show,2025-06-05,FL,Ashford Design Studio,1
CUST-00018,homeowner,paid_social,2025-06-16,NJ,,0
CUST-00019,designer,architect_referral,2024-05-07,GA,,1
CUST-00020,homeowner,paid_social,2024-08-06,VA,,0
CUST-00021,trade,trade_show,2025-01-28,MI,Cascade Design Studio,0
CUST-00022,homeowner,trade_show,2025-03-29,CT,,0
CUST-00023,homeowner,showroom_walkin,2024-08-28,MA,,0
CUST-00024,homeowner,email_capture,2024-11-01,FL,,0
CUST-00025,designer,architect_referral,2024-03-26,PA,,1
CUST-00026,designer,paid_social,2025-04-29,NY,,1
CUST-00027,trade,trade_show,2024-05-03,MD,Ashford Studio,1
CUST-00028,homeowner,paid_social,2025-03-22,MD,,1
CUST-00029,homeowner,organic_search,2024-09-04,PA,,1
CUST-00030,homeowner,trade_show,2024-12-04,NC,,1
CUST-00031,homeowner,organic_search,2024-08-20,NC,,1
CUST-00032,commercial,showroom_walkin,2025-05-04,NY,Coastal & Associates,1
CUST-00033,commercial,paid_social,2025-03-02,CT,Meridian Studio,1
CUST-00034,homeowner,showroom_walkin,2024-09-27,MD,,0
CUST-00035,homeowner,organic_search,2024-11-10,CT,,1
CUST-00036,homeowner,paid_social,2024-03-23,unknown,,1
CUST-00037,homeowner,paid_social,2024-12-07,AZ,,1
CUST-00038,homeowner,paid_social,2024-07-11,VA,,1
CUST-00039,designer,architect_referral,2024-06-11,GA,,1
CUST-00040,trade,trade_show,2024-05-19,OR,Coastal Design + Build,0
CUST-00041,commercial,direct,2024-09-01,MD,Coastal Design Studio,1
CUST-00042,designer,organic_search,2024-02-07,IL,,1
CUST-00043,trade,architect_referral,2025-01-24,AZ,Union Design Studio,1
CUST-00044,homeowner,organic_search,2025-01-26,CT,,1
CUST-00045,homeowner,paid_social,2025-05-09,NY,,1
CUST-00046,trade,trade_show,2024-12-26,CO,Bramble Build Co.,1
CUST-00047,homeowner,paid_social,2024-10-06,MN,,1
CUST-00048,trade,trade_show,2024-04-02,unknown,Northline & Associates,1
CUST-00049,designer,referral,2025-07-28,AZ,,1
CUST-00050,designer,architect_referral,2025-02-28,NY,,1
CUST-00051,homeowner,organic_search,2024-01-22,WA,,1
CUST-00052,designer,organic_search,2024-09-28,WA,,1
CUST-00053,homeowner,email_capture,2024-03-03,MI,,1
CUST-00054,homeowner,organic_search,2025-08-22,NJ,,1
CUST-00055,homeowner,organic_search,2024-06-05,MI,,1
CUST-00056,designer,showroom_walkin,2024-12-03,NY,,0
CUST-00057,commercial,architect_referral,2025-07-24,CA,Bramble Design Studio,1
CUST-00058,designer,organic_search,2024-02-23,IL,,1
CUST-00059,homeowner,paid_social,2024-08-04,IL,,1
CUST-00060,designer,paid_social,2025-02-18,CA,,1
CUST-00061,homeowner,email_capture,2024-05-31,CO,,1
CUST-00062,designer,direct,2024-11-19,IL,,1
CUST-00063,homeowner,email_capture,2025-08-08,TX,,1
CUST-00064,homeowner,paid_social,2024-10-16,FL,,1
CUST-00065,homeowner,showroom_walkin,2024-12-24,GA,,1
CUST-00066,homeowner,showroom_walkin,2025-06-04,unknown,,1
CUST-00067,homeowner,showroom_walkin,2024-05-14,CT,,1
CUST-00068,trade,trade_show,2025-08-07,OH,Bramble Studio,1
CUST-00069,trade,referral,2025-06-09,IL,Northline Interiors,1
CUST-00070,homeowner,organic_search,2024-09-19,TX,,1
CUST-00071,homeowner,showroom_walkin,2025-06-20,NC,,1
CUST-00072,homeowner,referral,2024-12-06,IL,,1
CUST-00073,homeowner,organic_search,2024-11-13,VA,,1
