engagement_id,customer_id,campaign_type,sent_date,opened,clicked
d3ac7476,CUST-00001,welcome,2024-10-09,0,0
f1131ee2,CUST-00001,sample_followup,2024-10-15,0,1
8881f1ef,CUST-00001,post_purchase,2024-11-07,0,1
d8816ede,CUST-00002,welcome,2024-12-11,0,0
9dd45287,CUST-00003,welcome,2025-07-20,1,0
f86bb871,CUST-00003,sample_followup,2025-07-29,1,0
b10fd851,CUST-00003,project_nurture,2025-08-13,0,0
28344dda,CUST-00003,post_purchase,2025-08-11,1,0
ea2b0d8f,CUST-00004,welcome,2024-02-28,1,1
5c574e13,CUST-00004,sample_followup,2024-03-11,0,0
126f9ee6,CUST-00004,post_purchase,2024-04-05,1,0
1f5d6864,CUST-00005,welcome,2024-05-22,0,0
818ec700,CUST-00005,sample_followup,2024-05-31,0,0
61129281,CUST-00005,reactivation,2024-07-04,0,0
ce1fcfea,CUST-00006,welcome,2024-04-25,0,0
3a7f67e3,CUST-00006,sample_followup,2024-04-29,1,0
975c8782,CUST-00006,post_purchase,2024-06-25,0,0
f7d55356,CUST-00007,welcome,2024-11-11,0,0
104d1d71,CUST-00007,sample_followup,2024-12-04,0,0
70847f36,CUST-00007,trade_engagement,2025-02-28,0,0
fb55271d,CUST-00008,welcome,2025-01-18,1,1
779993b0,CUST-00008,sample_followup,2025-01-21,0,1
473d34b8,CUST-00008,post_purchase,2025-02-14,1,1
ae23e784,CUST-00009,welcome,2025-02-21,1,0
2348674e,CUST-00009,sample_followup,2025-03-15,1,0
5237b6a6,CUST-00009,reactivation,2025-04-26,1,0
72559e0b,CUST-00010,welcome,2025-04-19,0,0
61b303d6,CUST-00010,sample_followup,2025-04-23,1,0
21b4653c,CUST-00010,post_purchase,2025-05-02,0,0
91b8ffa0,CUST-00011,welcome,2025-05-14,1,0
2d148ff2,CUST-00011,sample_followup,2025-05-24,0,0
2ddf1a69,CUST-00011,reactivation,2025-06-24,0,0
8b737a88,CUST-00012,welcome,2025-08-07,1,0
7ced0c9b,CUST-00012,sample_followup,2025-08-17,0,0
1f27f4a4,CUST-00012,post_purchase,2025-09-24,1,0
5fadf56e,CUST-00013,welcome,2024-09-08,0,0
f44186d9,CUST-00013,post_purchase,2024-09-27,0,1
3a245e3e,CUST-00014,welcome,2024-09-15,1,1
3c9c94fb,CUST-00014,sample_followup,2024-10-01,0,0
747c3ac0,CUST-00014,trade_engagement,2024-11-06,0,0
385e7c2b,CUST-00015,welcome,2024-05-11,0,0
39d472e0,CUST-00015,sample_followup,2024-05-20,1,0
9adc7adc,CUST-00015,post_purchase,2024-07-07,0,0
cb4770e1,CUST-00016,welcome,2024-12-07,0,0
0cfe2616,CUST-00016,sample_followup,2024-12-10,1,0
66029a02,CUST-00016,post_purchase,2025-02-07,1,0
e6b593e1,CUST-00017,welcome,2025-06-06,0,0
b1dcf8d9,CUST-00017,sample_followup,2025-06-11,1,0
13d5c004,CUST-00017,trade_engagement,2025-08-01,0,0
cb615461,CUST-00018,welcome,2025-06-17,0,0
eb48aa1f,CUST-00019,welcome,2024-05-08,1,0
a4bdd232,CUST-00019,sample_followup,2024-05-31,0,0
68172bb9,CUST-00019,post_purchase,2024-07-14,1,0
76fa23d8,CUST-00020,welcome,2024-08-07,0,0
076bd225,CUST-00020,sample_followup,2024-08-15,0,0
6a0e4126,CUST-00020,post_purchase,2024-09-05,1,0
f0b515e3,CUST-00021,welcome,2025-01-29,0,0
4ee123ba,CUST-00021,sample_followup,2025-02-16,1,0
864e3964,CUST-00021,trade_engagement,2025-04-26,0,0
3ac68c44,CUST-00022,welcome,2025-03-30,1,0
4025578f,CUST-00022,sample_followup,2025-04-16,1,0
9aa20692,CUST-00022,reactivation,2025-06-15,0,0
a9b6c89b,CUST-00023,welcome,2024-08-29,1,0
d20c5333,CUST-00023,sample_followup,2024-09-06,1,0
dfde9154,CUST-00023,post_purchase,2024-11-07,0,1
a1e3a1ae,CUST-00024,welcome,2024-11-02,1,0
e3600652,CUST-00024,sample_followup,2024-11-11,1,0
e3588fe4,CUST-00024,post_purchase,2024-12-15,0,0
831e8653,CUST-00025,welcome,2024-03-27,1,0
f0491555,CUST-00025,sample_followup,2024-04-05,0,0
a948dcbf,CUST-00025,post_purchase,2024-05-18,1,1
77eb4c61,CUST-00026,welcome,2025-04-30,0,0
2b034a23,CUST-00026,sample_followup,2025-05-15,0,1
f1287932,CUST-00026,post_purchase,2025-06-17,1,0
8e2cae27,CUST-00027,welcome,2024-05-04,1,0
422151d5,CUST-00027,sample_followup,2024-05-12,0,0
0a355d57,CUST-00027,trade_engagement,2024-07-19,0,0
cce15666,CUST-00028,welcome,2025-03-23,0,1
66e69ed6,CUST-00028,sample_followup,2025-04-08,0,0
189b7ded,CUST-00028,post_purchase,2025-05-09,1,0
568980fc,CUST-00029,welcome,2024-09-05,0,0
4b623f8f,CUST-00029,post_purchase,2024-09-30,1,0
335bcfa9,CUST-00030,welcome,2024-12-05,1,1
5f56af60,CUST-00030,sample_followup,2024-12-20,1,0
6b71cbe6,CUST-00030,reactivation,2025-03-05,0,0
eb594e0f,CUST-00031,welcome,2024-08-21,0,0
08bae1cd,CUST-00031,sample_followup,2024-08-27,0,0
1baffc6a,CUST-00031,reactivation,2024-10-23,0,0
b0bf0f1d,CUST-00032,welcome,2025-05-05,0,1
490f4dd7,CUST-00033,welcome,2025-03-03,1,0
37a6eb56,CUST-00033,sample_followup,2025-03-24,0,0
e3a9951b,CUST-00033,project_nurture,2025-04-10,0,0
44038886,CUST-00033,post_purchase,2025-04-06,1,0
f1b2ed08,CUST-00034,welcome,2024-09-28,1,0
55874aca,CUST-00035,welcome,2024-11-11,1,1
05bf3edd,CUST-00036,welcome,2024-03-24,1,0
d9c5303f,CUST-00036,sample_followup,2024-03-27,0,0
07a3fff8,CUST-00036,post_purchase,2024-05-08,1,0
ec6dad47,CUST-00037,welcome,2024-12-08,1,0
4c3b995d,CUST-00037,sample_followup,2024-12-12,1,0
45839754,CUST-00037,reactivation,2025-03-01,0,0
7da5f658,CUST-00038,welcome,2024-07-12,0,0
036b4993,CUST-00038,reactivation,2024-10-01,0,1
cc44cc4c,CUST-00039,welcome,2024-06-12,1,0
600e40ca,CUST-00039,sample_followup,2024-06-17,0,0
61592788,CUST-00039,post_purchase,2024-07-13,0,0
aa263f62,CUST-00040,welcome,2024-05-20,1,0
91b0a454,CUST-00040,sample_followup,2024-06-09,0,0
8c51cbd9,CUST-00040,trade_engagement,2024-08-10,0,0
79df1bc5,CUST-00041,welcome,2024-09-02,1,0
b127044f,CUST-00042,welcome,2024-02-08,0,0
2fd73e1f,CUST-00042,sample_followup,2024-02-24,0,0
39e0859e,CUST-00042,post_purchase,2024-04-03,1,0
de2d1468,CUST-00043,welcome,2025-01-25,1,0
a4e267a5,CUST-00043,sample_followup,2025-01-29,0,0
863c7092,CUST-00043,project_nurture,2025-03-01,1,1
4f648607,CUST-00043,post_purchase,2025-02-10,1,0
0cbb49e6,CUST-00044,welcome,2025-01-27,0,0
6d3034e4,CUST-00044,sample_followup,2025-02-19,0,0
0b93617c,CUST-00044,post_purchase,2025-03-22,0,0
b9286c2e,CUST-00045,welcome,2025-05-10,0,0
274eb4f1,CUST-00045,sample_followup,2025-05-22,0,0
e9634110,CUST-00045,reactivation,2025-08-10,0,0
d4f747c2,CUST-00046,welcome,2024-12-27,0,0
1c69cf5c,CUST-00046,sample_followup,2025-01-16,0,1
fe5eeb02,CUST-00046,trade_engagement,2025-02-20,0,0
3b8efd86,CUST-00047,welcome,2024-10-07,1,0
9ce73a8e,CUST-00047,sample_followup,2024-10-12,0,0
