event_id,customer_id,event_type,event_date,sku_collection,channel,amount
9e666a40,CUST-00001,site_visit,2024-10-08,,organic_search,
83527028,CUST-00001,visualizer_use,2024-10-14,Original Ceramic - Aegean,organic_search,
e2d74b7d,CUST-00001,sample_request,2024-10-12,Natural Press - Oatmeal,organic_search,
7a1f7731,CUST-00001,sample_request,2024-11-06,Thin Brick - Terracotta,organic_search,
4af77cdc,CUST-00001,purchase,2024-11-02,Natural Press - Sable,organic_search,1028.89
a5ea67df,CUST-00002,site_visit,2024-12-10,,organic_search,
e600533b,CUST-00003,site_visit,2025-07-19,,trade_show,
e4630c04,CUST-00003,sample_request,2025-07-26,Original Ceramic - Sage,trade_show,
08b7f864,CUST-00003,project_upload,2025-08-16,,trade_show,
c0c28d95,CUST-00003,purchase,2025-08-06,Original Ceramic - Clamshell,trade_show,16697.32
daa7e2ec,CUST-00004,site_visit,2024-02-27,,direct,
47f34c26,CUST-00004,sample_request,2024-03-08,Natural Press - Oatmeal,direct,
90dd178d,CUST-00004,purchase,2024-03-31,Thin Brick - Terracotta,direct,595.48
7fd517ac,CUST-00005,site_visit,2024-05-21,,organic_search,
2fee8b5d,CUST-00005,visualizer_use,2024-05-31,Glass - Seaglass,organic_search,
2692ba09,CUST-00005,sample_request,2024-05-28,Glass - Seaglass,organic_search,
baa73e07,CUST-00005,sample_request,2024-06-19,Original Ceramic - Aegean,organic_search,
49d4fdfa,CUST-00006,site_visit,2024-04-24,,showroom_walkin,
c64b1fed,CUST-00006,visualizer_use,2024-05-02,Original Ceramic - Clamshell,showroom_walkin,
709f7f3b,CUST-00006,sample_request,2024-04-26,Thin Brick - Charcoal,showroom_walkin,
3c91238c,CUST-00006,purchase,2024-06-20,Glass - Champagne,showroom_walkin,626.17
219bfaad,CUST-00007,site_visit,2024-11-10,,architect_referral,
60ff133c,CUST-00007,sample_request,2024-12-01,Glass - Midnight,architect_referral,
722544a1,CUST-00008,site_visit,2025-01-17,,paid_social,
de185fd9,CUST-00008,visualizer_use,2025-01-25,Natural Press - Oatmeal,paid_social,
9a767acc,CUST-00008,sample_request,2025-01-18,Original Ceramic - Sage,paid_social,
1d4b2066,CUST-00008,sample_request,2025-01-24,Natural Press - Fog,paid_social,
74b6bb67,CUST-00008,purchase,2025-02-09,Glass - Midnight,paid_social,789.87
b730fbda,CUST-00009,site_visit,2025-02-20,,direct,
503ea6cf,CUST-00009,sample_request,2025-03-12,Thin Brick - Charcoal,direct,
4f741169,CUST-00010,site_visit,2025-04-18,,organic_search,
820db77b,CUST-00010,visualizer_use,2025-04-28,Glass - Champagne,organic_search,
bf26a53a,CUST-00010,sample_request,2025-04-20,Natural Press - Oatmeal,organic_search,
eb084cbb,CUST-00010,sample_request,2025-05-07,Original Ceramic - Aegean,organic_search,
6e7f2d26,CUST-00010,purchase,2025-04-27,Natural Press - Sable,organic_search,1779.43
d698f9ae,CUST-00011,site_visit,2025-05-13,,architect_referral,
7b8957e7,CUST-00011,visualizer_use,2025-05-18,Original Ceramic - Aegean,architect_referral,
45919072,CUST-00011,sample_request,2025-05-21,Glass - Champagne,architect_referral,
4e042893,CUST-00011,sample_request,2025-06-11,Original Ceramic - Sage,architect_referral,
67b74771,CUST-00012,site_visit,2025-08-06,,organic_search,
b6451a6e,CUST-00012,sample_request,2025-08-14,Natural Press - Oatmeal,organic_search,
37884de1,CUST-00012,sample_request,2025-08-23,Thin Brick - Charcoal,organic_search,
e5cf9003,CUST-00012,purchase,2025-09-19,Original Ceramic - Sage,organic_search,842.65
7e328c55,CUST-00013,site_visit,2024-09-07,,direct,
6ef0355c,CUST-00013,visualizer_use,2024-09-15,Natural Press - Sable,direct,
