customer_id,segment,source_channel,signup_date,region,company_name,email_opt_in
CUST-00001,designer,organic_search,2024-10-08,CO,,1
CUST-00002,HOMEOWNER,organic_search,12/10/2024,NY,,1
CUST-00003,Commercial,trade_show,2025-07-19,GA,Ashford Interiors,1
CUST-00004,DESIGNER,direct,2024-02-27,CO,,1
CUST-00005,Homeowner,organic_search,2024-05-21,VA,,1
CUST-00006,Homeowner,showroom_walkin,2024-04-24,GA,,1
CUST-00007,trade,architect_referral,2024-11-10,CO,Northline Architecture Group,1
CUST-00008,Homeowner,paid_social,2025-01-17,OH,,1
CUST-00009,Homeowner,direct,2025-02-20,TX,,1
CUST-00010,homeowner,organic_search,2025-04-18,CO,,1
CUST-00011,designer,architect_referral,2025-05-13,IL,,1
CUST-00012,homeowner,organic_search,2025-08-06,CO,,1
CUST-00013,COMMERCIAL,direct,2024-09-07,NC,Union Construction,1
CUST-00014,Trade,trade_show,2024-09-14,WA,Coastal Construction,1
CUST-00015,Designer,organic_search,2024-05-10,WA,,0
CUST-00015-nochan,Designer,,2024-05-10,WA,,0
CUST-00016,Homeowner,showroom_walkin,12/06/2024,PA,,0
CUST-00017,commercial,trade_show,2025-06-05,FL,Ashford Design Studio,1
CUST-00018,Homeowner,paid_social,2025-06-16,NJ,,0
CUST-00018-dup,Homeowner,paid_social,2025-06-16,nj,,0
CUST-00019,designer,architect_referral,2024-05-07,GA,,1
CUST-00020,HOMEOWNER,paid_social,2024-08-06,VA,,0
CUST-00021,Trade,trade_show,2025-01-28,MI,Cascade Design Studio,0
CUST-00022,Homeowner,trade_show,03/29/2025,CT,,0
CUST-00023,homeowner,showroom_walkin,2024-08-28,MA,,0
CUST-00024,HOMEOWNER,email_capture,2024-11-01,FL,,0
CUST-00025,Designer,architect_referral,03/26/2024,PA,,1
CUST-00026,designer,paid_social,04/29/2025,NY,,1
CUST-00027,trade,trade_show,2024-05-03,MD,Ashford Studio,1
CUST-00028,HOMEOWNER,paid_social,2025-03-22,MD,,1
CUST-00029,HOMEOWNER,organic_search,2024-09-04,PA,,1
CUST-00029-dup,HOMEOWNER,organic_search,2024-09-04,pa,,1
CUST-00030,Homeowner,trade_show,2024-12-04,NC,,1
CUST-00031,Homeowner,organic_search,2024-08-20,NC,,1
CUST-00032,commercial,showroom_walkin,2025-05-04,NY,Coastal & Associates,1
CUST-00033,COMMERCIAL,paid_social,03/02/2025,CT,Meridian Studio,1
CUST-00034,Homeowner,showroom_walkin,09/27/2024,MD,,0
CUST-00034-nochan,Homeowner,,09/27/2024,MD,,0
CUST-00035,homeowner,organic_search,2024-11-10,CT,,1
CUST-00035-nochan,homeowner,,2024-11-10,CT,,1
CUST-00036,homeowner,paid_social,2024-03-23,,,1
CUST-00036-nochan,homeowner,,2024-03-23,,,1
CUST-00037,homeowner,paid_social,2024-12-07,AZ,,1
CUST-00038,homeowner,paid_social,2024-07-11,VA,,1
CUST-00039,designer,architect_referral,2024-06-11,GA,,1
CUST-00040,Trade,trade_show,05/19/2024,OR,Coastal Design + Build,0
CUST-00040-nochan,Trade,,05/19/2024,OR,Coastal Design + Build,0
CUST-00041,commercial,direct,2024-09-01,MD,Coastal Design Studio,1
CUST-00042,Designer,organic_search,02/07/2024,IL,,1
CUST-00043,TRADE,architect_referral,2025-01-24,AZ,Union Design Studio,1
CUST-00044,homeowner,organic_search,01/26/2025,CT,,1
CUST-00045,homeowner,paid_social,2025-05-09,NY,,1
CUST-00046,Trade,trade_show,12/26/2024,CO,Bramble Build Co.,1
CUST-00047,Homeowner,paid_social,2024-10-06,MN,,1
CUST-00048,Trade,trade_show,2024-04-02,,Northline & Associates,1
CUST-00049,Designer,referral,2025-07-28,AZ,,1
CUST-00049-nochan,Designer,,2025-07-28,AZ,,1
CUST-00050,Designer,architect_referral,2025-02-28,NY,,1
CUST-00051,HOMEOWNER,organic_search,01/22/2024,WA,,1
CUST-00052,Designer,organic_search,09/28/2024,WA,,1
CUST-00053,Homeowner,email_capture,2024-03-03,MI,,1
CUST-00054,homeowner,organic_search,2025-08-22,NJ,,1
CUST-00055,Homeowner,organic_search,2024-06-05,MI,,1
CUST-00055-nochan,Homeowner,,2024-06-05,MI,,1
CUST-00056,Designer,showroom_walkin,2024-12-03,NY,,0
CUST-00057,commercial,architect_referral,2025-07-24,CA,Bramble Design Studio,1
CUST-00058,Designer,organic_search,02/23/2024,IL,,1
CUST-00059,Homeowner,paid_social,2024-08-04,IL,,1
CUST-00060,Designer,paid_social,2025-02-18,CA,,1
CUST-00061,Homeowner,email_capture,2024-05-31,CO,,1
CUST-00062,Designer,direct,2024-11-19,IL,,1
CUST-00063,homeowner,email_capture,08/08/2025,TX,,1
CUST-00064,HOMEOWNER,paid_social,2024-10-16,FL,,1
CUST-00065,HOMEOWNER,showroom_walkin,2024-12-24,GA,,1
CUST-00066,homeowner,showroom_walkin,2025-06-04,,,1
CUST-00067,homeowner,showroom_walkin,05/14/2024,CT,,1
CUST-00068,trade,trade_show,08/07/2025,OH,Bramble Studio,1
CUST-00069,trade,referral,2025-06-09,IL,Northline Interiors,1
CUST-00070,Homeowner,organic_search,09/19/2024,TX,,1
CUST-00071,homeowner,showroom_walkin,2025-06-20,NC,,1
CUST-00071-dup,homeowner,showroom_walkin,2025-06-20,nc,,1
CUST-00072,HOMEOWNER,referral,2024-12-06,IL,,1
CUST-00073,Homeowner,organic_search,11/13/2024,VA,,1
CUST-00074,homeowner,organic_search,05/24/2025,NC,,1
CUST-00075,homeowner,showroom_walkin,2024-12-27,CT,,1
CUST-00076,Designer,referral,2025-08-03,WA,,1
CUST-00077,Designer,email_capture,2024-07-23,NY,,1
CUST-00078,COMMERCIAL,architect_referral,2024-03-07,NJ,Bramble Build Co.,1
CUST-00079,Trade,trade_show,2024-03-29,OR,Union Studio,1
CUST-00080,Designer,referral,2025-07-18,MD,,0
CUST-00081,Homeowner,email_capture,2024-10-08,IL,,1
CUST-00082,homeowner,showroom_walkin,2025-08-13,MA,,1
CUST-00083,Commercial,trade_show,2025-02-19,GA,Harbor Build Co.,1
CUST-00084,Homeowner,organic_search,2024-04-09,WA,,1
CUST-00085,Designer,direct,04/26/2025,GA,,1
CUST-00086,Homeowner,referral,2024-07-18,NC,,1
CUST-00087,Homeowner,organic_search,2024-02-09,IL,,1
CUST-00088,Homeowner,showroom_walkin,2025-03-02,MD,,0
CUST-00089,homeowner,paid_social,2025-02-26,TX,,1
CUST-00090,homeowner,referral,09/27/2024,CT,,0
CUST-00091,designer,architect_referral,2025-05-15,AZ,,1
CUST-00091-nochan,designer,,2025-05-15,AZ,,1
CUST-00092,DESIGNER,organic_search,2025-08-23,CO,,1
CUST-00093,Designer,direct,05/02/2025,MI,,1
CUST-00094,commercial,direct,2024-02-08,CA,Northline Design + Build,1
CUST-00095,Homeowner,organic_search,04/25/2024,AZ,,1
CUST-00096,Trade,referral,2025-02-19,PA,Northline Studio,1
CUST-00097,designer,paid_social,2024-04-30,GA,,1
CUST-00098,Designer,direct,2025-07-04,TX,,1
CUST-00099,Homeowner,referral,2024-04-29,TX,,1
CUST-00100,homeowner,organic_search,2024-03-11,,,1
CUST-00101,commercial,trade_show,2025-01-21,FL,Cascade Design + Build,1
