customer_id,score,date
CUST-00003,10,2025-08-30
CUST-00006,7,2024-07-23
CUST-00012,6,2025-10-07
CUST-00020,8,2024-10-06
CUST-00025,9,2024-05-24
CUST-00026,8,2025-07-11
CUST-00051,10,2024-03-17
CUST-00054,8,2025-11-05
CUST-00060,5,2025-04-30
CUST-00068,8,2025-09-28
CUST-00070,10,2024-12-03
CUST-00076,8,2025-10-24
CUST-00084,8,2024-06-25
CUST-00088,9,2025-05-19
CUST-00104,10,2025-04-08
CUST-00106,9,2025-07-25
CUST-00109,7,2024-11-25
CUST-00110,9,2024-11-13
CUST-00114,8,2025-05-07
CUST-00122,9,2025-04-15
CUST-00130,8,2025-04-28
CUST-00133,7,2024-07-17
CUST-00141,9,2025-07-27
CUST-00162,9,2024-04-25
CUST-00169,10,2024-09-23
CUST-00170,8,2024-07-23
CUST-00171,7,2024-04-02
CUST-00175,6,2024-09-24
CUST-00181,10,2024-09-24
CUST-00192,10,2024-09-22
CUST-00194,8,2025-01-30
CUST-00207,3,2024-06-25
CUST-00231,7,2025-02-05
CUST-00235,8,2024-06-10
CUST-00238,9,2025-05-11
CUST-00241,4,2025-01-07
CUST-00247,10,2025-09-06
CUST-00250,10,2024-11-12
CUST-00252,7,2025-08-26
CUST-00257,9,2024-04-06
CUST-00258,10,2025-09-07
CUST-00261,9,2025-09-20
CUST-00265,10,2024-04-04
CUST-00279,7,2025-09-08
CUST-00287,7,2025-06-01
CUST-00293,7,2024-12-22
CUST-00295,10,2024-10-14
CUST-00301,10,2024-12-27
CUST-00303,9,2025-01-22
CUST-00311,10,2024-07-01
CUST-00324,10,2024-11-13
CUST-00326,9,2024-04-10
CUST-00337,10,2024-09-08
CUST-00348,7,2025-10-01
CUST-00353,4,2025-07-27
CUST-00372,10,2024-10-29
CUST-00376,10,2025-09-09
CUST-00379,8,2024-09-23
CUST-00382,7,2024-10-19
CUST-00383,7,2025-01-20
CUST-00385,7,2024-10-30
CUST-00395,7,2025-05-10
CUST-00400,6,2025-06-26
CUST-00403,10,2024-05-09
CUST-00408,10,2024-12-30
CUST-00410,9,2024-08-04
CUST-00429,9,2024-12-29
CUST-00438,9,2024-10-02
CUST-00439,10,2025-03-24
CUST-00440,8,2025-09-15
CUST-00451,6,2024-05-13
CUST-00453,8,2025-04-07
CUST-00456,9,2024-03-02
CUST-00459,6,2025-03-29
CUST-00465,8,2024-08-04
CUST-00466,6,2024-02-18
CUST-00468,10,2025-04-10
CUST-00471,9,2025-03-14
CUST-00476,8,2025-02-20
CUST-00485,7,2024-04-26
CUST-00486,6,2024-07-13
CUST-00488,9,2024-04-25
CUST-00489,7,2024-08-09
CUST-00492,10,2025-08-22
CUST-00502,8,2024-11-30
CUST-00503,9,2024-02-15
CUST-00526,8,2024-12-31
CUST-00531,8,2024-06-19
CUST-00541,8,2025-01-18
CUST-00552,8,2025-10-30
CUST-00556,10,2024-03-12
CUST-00557,7,2024-09-14
CUST-00563,10,2025-07-02
CUST-00566,8,2024-11-09
CUST-00576,7,2025-10-19
CUST-00580,10,2024-10-15
CUST-00585,9,2024-10-21
CUST-00587,10,2024-10-09
CUST-00593,9,2025-02-22
CUST-00602,10,2025-03-09
CUST-00604,10,2025-02-20
CUST-00608,8,2025-09-26
CUST-00610,9,2024-06-24
CUST-00611,8,2024-12-26
CUST-00612,9,2024-07-28
CUST-00616,9,2024-08-21
CUST-00617,9,2025-08-18
CUST-00619,7,2024-11-24
CUST-00653,8,2025-05-23
CUST-00654,9,2025-09-10
CUST-00657,7,2025-07-26
CUST-00668,10,2024-07-30
CUST-00673,9,2025-10-03
CUST-00675,10,2024-04-17
CUST-00677,9,2024-03-31
CUST-00686,8,2025-03-21
CUST-00692,6,2025-11-04
CUST-00693,9,2025-02-11
CUST-00700,9,2024-11-10
CUST-00712,10,2025-05-01
CUST-00727,7,2025-11-25
CUST-00730,7,2025-01-28
CUST-00741,9,2024-05-23
CUST-00744,9,2025-01-09
CUST-00754,5,2025-05-09
CUST-00756,6,2025-10-04
CUST-00764,7,2025-02-03
CUST-00766,9,2025-08-09
CUST-00770,10,2024-02-27
CUST-00772,10,2025-06-27
CUST-00781,8,2024-05-03
CUST-00783,8,2024-08-20
CUST-00799,8,2025-01-31
CUST-00815,7,2024-11-14
CUST-00816,5,2024-11-21
CUST-00821,8,2024-05-21
CUST-00823,7,2024-12-07
CUST-00830,6,2025-04-26
CUST-00831,10,2024-06-10
CUST-00840,6,2025-06-02
CUST-00842,10,2024-09-16
CUST-00864,10,2025-05-08
CUST-00873,7,2025-07-18
CUST-00883,8,2025-02-28
CUST-00886,10,2024-04-22
CUST-00887,8,2025-10-06
CUST-00899,9,2024-08-08
CUST-00903,10,2025-03-21
CUST-00920,6,2024-12-07
CUST-00925,8,2024-09-18
CUST-00928,8,2024-04-05
CUST-00939,7,2024-04-06
CUST-00942,10,2025-05-06
CUST-00946,10,2024-07-14
CUST-00948,10,2025-10-30
CUST-00962,10,2024-05-27
CUST-00966,9,2025-03-05
CUST-00967,8,2025-08-12
CUST-00969,10,2024-07-28
CUST-00989,9,2024-04-08
CUST-00990,6,2025-05-08
CUST-00992,9,2024-08-26
CUST-00994,9,2025-01-09
CUST-00999,6,2025-11-05
CUST-01001,6,2025-09-10
CUST-01003,7,2024-06-24
CUST-01010,6,2025-03-22
CUST-01017,8,2025-08-12
CUST-01020,7,2025-10-09
CUST-01027,7,2024-08-30
CUST-01040,9,2024-06-19
CUST-01052,7,2024-07-26
CUST-01057,10,2024-12-26
CUST-01063,8,2024-04-21
CUST-01081,7,2024-07-27
CUST-01094,10,2025-09-28
CUST-01106,9,2024-06-19
CUST-01108,7,2024-08-01
CUST-01129,9,2025-05-22
CUST-01137,9,2024-09-24
CUST-01142,10,2024-04-18
CUST-01153,7,2024-09-14
CUST-01185,10,2025-05-27
CUST-01194,8,2024-08-20
CUST-01196,5,2025-08-02
CUST-01197,9,2025-10-07
CUST-01210,7,2024-07-14
CUST-01211,8,2024-08-30
CUST-01217,8,2024-06-13
CUST-01220,8,2024-04-05
CUST-01227,9,2025-01-15
CUST-01232,8,2024-10-12
CUST-01239,9,2025-08-28
CUST-01241,6,2024-03-23
CUST-01248,6,2025-07-17
CUST-01257,10,2024-06-23
CUST-01259,8,2024-09-07
CUST-01260,7,2025-06-04
CUST-01264,9,2024-04-03
CUST-01269,6,2025-05-06
CUST-01278,9,2025-01-21
CUST-01309,10,2024-10-26
CUST-01312,9,2025-09-30
CUST-01314,10,2025-03-06
CUST-01320,10,2024-12-11
CUST-01341,7,2024-12-08
CUST-01351,9,2025-04-18
CUST-01356,9,2024-09-26
CUST-01357,10,2024-07-18
CUST-01378,7,2025-05-03
CUST-01379,9,2025-03-01
CUST-01390,10,2025-06-14
CUST-01392,7,2025-11-18
CUST-01403,10,2025-02-02
CUST-01404,9,2025-06-13
CUST-01415,7,2024-08-12
CUST-01432,7,2024-12-07
CUST-01434,7,2025-02-28
CUST-01442,8,2024-06-25
CUST-01443,9,2025-09-16
CUST-01464,9,2024-09-22
CUST-01508,9,2024-11-29
CUST-01520,7,2024-09-20
CUST-01526,10,2025-02-11
CUST-01556,8,2024-04-24
CUST-01557,9,2025-08-18
CUST-01558,10,2024-11-17
CUST-01585,10,2025-06-14
CUST-01592,7,2024-06-11
CUST-01604,10,2024-08-13
CUST-01616,6,2025-08-16
CUST-01633,10,2025-04-22
CUST-01636,9,2024-09-10
CUST-01647,7,2024-09-06
CUST-01656,8,2025-01-26
CUST-01662,8,2025-06-26
CUST-01665,8,2025-02-28
CUST-01670,9,2025-09-05
